id,name,structure-id,structure-abbrev,structure-name,structure-color,strain,transgenic-line,gender,injection-coordinates,injection-volume,injection-structures,sum,num-voxels,selected,experiment_page_url
127139568,378-1400,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,C57BL/6J,,M,"[9200, 5000, 8900]",0.582197,"[{""id""=>843, ""name""=>""Parasubiculum"", ""abbreviation""=>""PAR"", ""color""=>""72D569""}, {""id""=>870, ""name""=>""Subiculum, ventral part, pyramidal layer"", ""abbreviation""=>""SUBv-sp"", ""color""=>""4BB547""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",6.84515,485782,false,http://connectivity.brain-map.org/projection/experiment/127139568
113226232,378-1101,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,C57BL/6J,,M,"[9900, 5000, 9500]",0.424636,"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",5.84213,486099,false,http://connectivity.brain-map.org/projection/experiment/113226232
112672974,378-1053,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,C57BL/6J,,M,"[9800, 3700, 8900]",0.269039,"[{""id""=>385, ""name""=>""Primary visual area"", ""abbreviation""=>""VISp"", ""color""=>""08858C""}, {""id""=>425, ""name""=>""Posterolateral visual area"", ""abbreviation""=>""VISpl"", ""color""=>""08858C""}, {""id""=>518, ""name""=>""Subiculum, ventral part"", ""abbreviation""=>""SUBv"", ""color""=>""4FC244""}, {""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>843, ""name""=>""Parasubiculum"", ""abbreviation""=>""PAR"", ""color""=>""72D569""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",2.78047,478607,false,http://connectivity.brain-map.org/projection/experiment/112672974
286484879,Syt17-Cre_NO14-193,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Syt17-Cre_NO14,F,"[10200, 4100, 9100]",0.083707,"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",1.6798,482048,false,http://connectivity.brain-map.org/projection/experiment/286484879
194947823,Cux2-CreERT2-178,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Cux2-CreERT2,F,"[10100, 4200, 9000]",0.188123,"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",1.32089,487866,false,http://connectivity.brain-map.org/projection/experiment/194947823
264873092,Cux2-CreERT2-182,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Cux2-CreERT2,M,"[9900, 4000, 8900]",0.074241,"[{""id""=>843, ""name""=>""Parasubiculum"", ""abbreviation""=>""PAR"", ""color""=>""72D569""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",1.02465,491598,false,http://connectivity.brain-map.org/projection/experiment/264873092
264873809,Cux2-CreERT2-184,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Cux2-CreERT2,M,"[9800, 4300, 9000]",0.190541,"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",0.85263,486852,false,http://connectivity.brain-map.org/projection/experiment/264873809
267998328,Grik4-Cre-5127,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Grik4-Cre,F,"[10100, 4000, 9400]",0.187819,"[{""id""=>409, ""name""=>""Lateral visual area"", ""abbreviation""=>""VISl"", ""color""=>""08858C""}, {""id""=>425, ""name""=>""Posterolateral visual area"", ""abbreviation""=>""VISpl"", ""color""=>""08858C""}, {""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>843, ""name""=>""Parasubiculum"", ""abbreviation""=>""PAR"", ""color""=>""72D569""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}, {""id""=>1084, ""name""=>""Presubiculum"", ""abbreviation""=>""PRE"", ""color""=>""59B947""}]",0.51566,482665,false,http://connectivity.brain-map.org/projection/experiment/267998328
267999034,Grik4-Cre-5128,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Grik4-Cre,F,"[10000, 4000, 9000]",0.154955,"[{""id""=>518, ""name""=>""Subiculum, ventral part"", ""abbreviation""=>""SUBv"", ""color""=>""4FC244""}, {""id""=>843, ""name""=>""Parasubiculum"", ""abbreviation""=>""PAR"", ""color""=>""72D569""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}, {""id""=>1084, ""name""=>""Presubiculum"", ""abbreviation""=>""PRE"", ""color""=>""59B947""}]",0.48536,482868,false,http://connectivity.brain-map.org/projection/experiment/267999034
300078194,Drd3-Cre_KI196_LURC-127391,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,unknown,Drd3-Cre_KI196,M,"[9800, 4100, 8900]",0.08439,"[{""id""=>843, ""name""=>""Parasubiculum"", ""abbreviation""=>""PAR"", ""color""=>""72D569""}, {""id""=>870, ""name""=>""Subiculum, ventral part, pyramidal layer"", ""abbreviation""=>""SUBv-sp"", ""color""=>""4BB547""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}, {""id""=>1084, ""name""=>""Presubiculum"", ""abbreviation""=>""PRE"", ""color""=>""59B947""}]",0.30224,480401,false,http://connectivity.brain-map.org/projection/experiment/300078194
308642254,Pcdh9-Cre-124673,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Pcdh9-Cre_NP276,F,"[10000, 3300, 8900]",0.022413,"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",0.23744,488134,false,http://connectivity.brain-map.org/projection/experiment/308642254
299447153,Scnn1a-Tg2-Cre-122199,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Scnn1a-Tg2-Cre,M,"[9900, 4400, 9000]",0.028997,"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",0.22328,488015,false,http://connectivity.brain-map.org/projection/experiment/299447153
299403823,Nos1-CreERT2-126843,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.129,Nos1-CreERT2,unknown,"[9900, 4400, 9100]",0.066348,"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",0.14635,488134,false,http://connectivity.brain-map.org/projection/experiment/299403823
167793416,Wfs1-Tg3-CreERT2-5271,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Wfs1-Tg3-CreERT2,F,"[10100, 4700, 9200]",0.004952,"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",0.09213,488134,false,http://connectivity.brain-map.org/projection/experiment/167793416
293750063,Calb1-2A-dgCre-123739,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.129,Calb1-2A-dgCre,M,"[10100, 4600, 9300]",0.045994,"[{""id""=>385, ""name""=>""Primary visual area"", ""abbreviation""=>""VISp"", ""color""=>""08858C""}, {""id""=>843, ""name""=>""Parasubiculum"", ""abbreviation""=>""PAR"", ""color""=>""72D569""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",0.09004,482545,false,http://connectivity.brain-map.org/projection/experiment/293750063
300319630,Htr2a-Cre_KM207-123932,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,unknown,Htr2a-Cre_KM207,F,"[9500, 5300, 9500]",0.037191,"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",0.04176,488134,false,http://connectivity.brain-map.org/projection/experiment/300319630
302014692,Scnn1a-Tg2-Cre-122200,926,ENTm,"Entorhinal area, medial part, dorsal zone",32B825,B6.Cg,Scnn1a-Tg2-Cre,M,"[9800, 4400, 8900]",0.00488,"[{""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]",0.0221,492205,false,http://connectivity.brain-map.org/projection/experiment/302014692
